Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20p","C_0201_0603Metric",180.568750,-76.925000,180.000000,top
"C2","0.1µ","C_0201_0603Metric",182.368750,-71.675000,0.000000,top
"C3","10n","C_0201_0603Metric",178.218304,-77.925000,0.000000,top
"D1","BPW34","Osram_DIL2_4.3x4.65mm_P5.08mm",182.778750,-75.075000,0.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",175.568750,-77.915000,180.000000,top
"R1","68k","R_0201_0603Metric",180.568750,-76.175000,180.000000,top
"R2","100","R_0201_0603Metric",178.218750,-77.175000,180.000000,top
"U1","MCP6001R","SOT-23-5",179.518750,-74.125000,0.000000,top
